Rank,Name,W2001,Citizenship,C2001,Age01,I01,,Rank,Name,W2002,Citizenship,C2002,Age02,I02,,Rank,Name,W2003,Citizenship,C2003,Age03,I03,,Rank,Name,W2004,Citizenship,C2004,Age04,I04,,Rank,Name,W2005,Citizenship,C2005,Age05,I05,,Rank,Name,W2006,Citizenship,C2006,Age06,I06,,Rank,Name,W2007,Citizenship,C2007,Age07,I07,,Rank,Name,W2008,Citizenship,C2008,Age08,I08,,Rank,Name,W2009,Citizenship,C2009,Age09,I09,,Rank,Name,W2010,Citizenship,C2010,Age10,I10,G10,,Rank,Name,W2011,Citizenship,C2011,Age11,I11,G11,,Rank,Name,W2012,Citizenship,C2012,Age12,I12,G12,,Rank,Name,W2013,Citizenship,C2013,Age13,I13,G13,,Rank,Name,W2014,Citizenship,C2014,Age14,I14,G14,,Rank,Name,W2015,Citizenship,C2015,Age15,I15,G15,,Rank,Name,W2016,Citizenship,C2016,Age16,I16,G16,,Rank,Name,W2017,Citizenship,C2017,Age17,I17,G17,,Rank,Name,W2018,Citizenship,C2018,Age18,I18,G18,,Rank,Name,W2019,Citizenship,C2019,Age19,I19,G19,,Rank,Name,W2020,Citizenship,C2020,Age20,I20,G20,,Rank,Name,W2021,Citizenship,C2021,Age21,I21,G21,,Rank,Name,W2022,Citizenship,C2022,Age22,I22,G22,,Rank,full_name,W2023,Citizenship,C2023,Age23,I23,G23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584,Alexander Spanos,11,United State,North America,81,Consumer,,606,Thomas Flatley,13,United State,North America,73,Materials,,583,Lorenzo Zambrano & family,17,Mexico,North America,62,Communication Services,,605,J Christopher Flowers,20,United State,North America,50,Consumer,,601,Ingeburg Herz,12,Germany,Europe,89,Financials,,616,S. Daniel Abraham,16,United State,North America,85,Information Technology,Male,,595,Gordon Getty,20,United State,North America,77,Information Technology,Male,,601,Ajay Kalsi,21,India,Asia,-,Consumer,Male,,613,Mark Cuban,24,United State,North America,54,Communication Services,Male,,609,Abilio dos Santos Diniz,28,Brazil,South America,77,Consumer,Male,,603,Tom Persson,30,Sweden,Europe,30,Financials,Male,,612,Luciano Benetton,28,Italy,Europe,80,Consumer,Male,,603,Jorge Moll Filho,32,Brazil,South America,72,HealthCare,Male,,606,Viatcheslav Kantor,37,Russia,Europe,64,Industrials,Male,,597,Zhang Xin & Pan Shiyi,36,China,Asia,53,Real Estate,Female,,616,Chip Wilson,32,Canada,North America,65,Consumer,Male,,608,Tim Sweeney,47,United State,North America,50,Communication Services,Male,,601,Martin Haefner,47,Switzerland,Europe,68,Real Estate,Male,,611,N.R. Narayana Murthy,45,India,Asia,76,Information Technology,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584,Joyce Raley Teel,11,United State,North America,74,Consumer,,606,Alan Gerry,13,United State,North America,76,Consumer,,583,Zhong Shen Jian,17,Singapore,Asia,48,Financials,,605,John Gandel,20,Australia,Australia,73,Communication Services,,601,Alijan Ibragimov,12,Kazakhstan,Asia,55,Financials,,616,Joao Alves de Queiroz Filho,16,Brazil,South America,57,Financials,Male,,595,Henry Samueli,20,United State,North America,56,Financials,Male,,601,Alicia Koplowitz,21,Spain,Europe,57,Consumer,Female,,613,Dulce Pugliese de Godoy Bueno,24,Brazil,South America,65,Real Estate,Female,,609,Philippe Foriel-Destezet,28,France,Europe,78,Communication Services,Male,,603,"David Rockefeller, Sr.",30,United State,North America,99,Financials,Male,,612,Otto Philipp Braun,28,Germany,Europe,38,HealthCare,Male,,603,Fernando Roberto Moreira Salles,32,Brazil,South America,70,Financials,Male,,606,Samvel Karapetyan,37,Russia,Europe,52,Industrials,Male,,617,Andrej Babis,35,Czech Republic,Europe,64,Consumer,Male,,616,Xu Jingren,32,China,Asia,73,Communication Services,Female,,608,Tang Shing-bor,47,China,Asia,87,Real Estate,Male,,601,Johnelle Hunt,47,United State,North America,90,Consumer,Male,,611,Odd Reitan & family,45,Norway,Europe,71,Consumer,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584,Kenny Troutt,11,United State,North America,57,Real Estate,,606,Malcolm Glazer,13,United State,North America,77,Financials,,618,Bassam Alghanim,16,Kuwait,Asia,-,Real Estate,,605,Rolf Gerling,20,Germany,Europe,53,Real Estate,,601,Stephen Jarislowsky,12,Canada,North America,83,Energy,,616,Alexei Ananyev,16,Russia,Europe,45,Consumer,Male,,595,Lynn Schusterman,20,United State,North America,72,Industrials,Female,,601,Patrick Lee,21,China,Asia,70,Consumer,Male,,613,Rafael Del Pino y Calvo-Sotelo,24,Spain,Europe,54,HealthCare,Male,,609,Huang Rulun,28,China,Asia,62,Consumer,Male,,603,"Wilbur Ross, Jr.",30,United State,North America,77,Communication Services,Male,,612,Otto Happel,28,Germany,Europe,68,Industrials,Male,,603,Joao Moreira Salles,32,Brazil,South America,55,Financials,Male,,606,Marc Ladreit de Lacharriere,37,France,Europe,77,Financials,Male,,617,Ursula Bechtolsheimer-Kipp,35,Germany,Europe,67,Real Estate,Female,,616,Denise York & family,32,United State,North America,58,Consumer,Male,,608,Oleg Tinkov,47,Russia,Europe,53,Financials,Male,,601,Mark Shoen,47,United State,North America,71,Materials,Male,,611,Marc Rowan,45,United State,North America,60,Financials,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584,Charlotte Colket Weber,11,United State,North America,62,Financials,,606,Christopher Goldsbury,13,United State,North America,63,Financials,,618,Kutayba Alghanim,16,Kuwait,Asia,60,Real Estate,,605,Frits Goldschmeding,20,Netherlands,Europe,74,Consumer,,601,Ihor Kolomoyskyy,12,United Kingdom,Europe,-,Communication Services,,616,Dmitry Ananyev,16,Russia,Europe,41,Real Estate,Male,,595,Phillip Ruffin,20,United State,North America,75,Consumer,Male,,601,Alexander Mamut,21,Russia,Europe,52,Communication Services,Male,,613,"John Dorrance, III.",24,Ireland,Europe,69,Industrials,Male,,609,W. Herbert Hunt,28,United State,North America,85,Consumer,Male,,603,Stephen Rubin,30,United Kingdom,Europe,77,Energy,Male,,612,Daniela Herz,28,Germany,Europe,62,Financials,Female,,603,Pedro Moreira Salles,32,Brazil,South America,57,Financials,Male,,606,Angela Leong,37,China,Asia,56,Consumer,Female,,617,Chu Mang Yee & family,35,China,Asia,59,Real Estate,Male,,616,Micree Zhan,32,China,Asia,68,Real Estate,Male,,608,Mark Walter,47,United State,North America,60,Financials,Male,,601,Leonid Boguslavsky,47,Russia,Europe,70,Industrials,Male,,611,Hussain Sajwani,45,United Arab Emirates,Asia,70,Real Estate,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,John Anderson,10,United State,North America,87,Communication Services,,606,Tom Golisano,13,United State,North America,64,Consumer,,618,James Balsillie,16,Canada,North America,46,Consumer,,605,Donald Gordon,20,South Africa,Africa,77,Consumer,,601,Uday Kotak,12,India,Asia,50,Financials,,616,Vasily Anisimov,16,Russia,Europe,58,Financials,Male,,595,Meng Qingshan & family,20,China,Asia,62,Consumer,Female,,601,Ziyad Manasir,21,Russia,Europe,46,Financials,Male,,613,Jaime Gilinski Bacal,24,Colombia,South America,55,Communication Services,Male,,609,Erman Ilicak,28,Turkey,Asia,46,Real Estate,Male,,603,Shaul Shani,30,Israel,Asia,60,Consumer,Male,,612,Guenter Herz & Family,28,Germany,Europe,75,Financials,Male,,603,Walther Moreira Salles Junior,32,Brazil,South America,60,Financials,Male,,606,Li Gaiteng,37,China,Asia,45,Industrials,Male,,617,Scott Cook,35,United State,North America,66,Information Technology,Male,,616,Zhang Wenzhong,32,China,Asia,29,Information Technology,Male,,608,Wong Luen Hei,47,China,Asia,59,Industrials,Male,,601,Andre Koo Sr,47,China,Asia,54,Consumer,Male,,611,David Velez & family,45,Colombia,South America,41,Financials,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,Edmund Ansin,10,United State,North America,69,Consumer,,606,Alec Gores,13,United State,North America,53,Consumer,,618,Neil Bluhm,16,United State,North America,69,Consumer,,605,Guo Guangchang,20,China,Asia,41,Energy,,601,Michael Krasny,12,United State,North America,55,Communication Services,,616,Mikhail Balakin,16,Russia,Europe,48,Communication Services,Male,,595,Albert von Thurn und Taxis,20,Germany,Europe,27,Information Technology,Female,,601,Kerr Neilson,21,Australia,Australia,62,Financials,Male,,613,Desh Bandhu Gupta,24,India,Asia,75,HealthCare,Male,,609,Angela Leong,28,China,Asia,52,Consumer,Female,,603,Charlotte Soderstrom,30,Sweden,Europe,38,Consumer,Female,,612,Peter Kellogg,28,United State,North America,73,Financials,Male,,603,Michael Moritz,32,United State,North America,62,Information Technology,Male,,606,Mangal Prabhat Lodha,37,India,Asia,62,Real Estate,Male,,617,Ralph Dommermuth,35,Germany,Europe,55,Information Technology,Male,,616,Andrej Babis,32,Czech Republic,Europe,31,Information Technology,Male,,608,Zhou Bajin,47,China,Asia,85,Industrials,Male,,601,Mangal Prabhat Lodha,47,India,Asia,66,Financials,Male,,611,Xu Jinfu,45,China,Asia,59,Industrials,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,John Arrillaga,10,United State,North America,67,Consumer,,606,Robert Holding,13,United State,North America,79,Consumer,,618,Gary Burrell,16,United State,North America,69,Communication Services,,605,Joshua Harris,20,United State,North America,43,Consumer,,601,Guilherme Peirao Leal,12,Brazil,South America,58,Consumer,,616,John Catsimatidis,16,United State,North America,61,Real Estate,Male,,595,Robert Rich,20,United State,North America,70,Industrials,Male,,601,Lirio Parisotto,21,Brazil,South America,58,Industrials,Male,,613,Bahaa Hariri,24,Lebanon,Asia,46,Communication Services,Male,,609,Mary Alice Dorrance Malone,28,United State,North America,64,Financials,Female,,603,Daniel Tsai,30,China,Asia,58,Real Estate,Male,,612,Heikki Kyostila,28,Finland,Europe,70,HealthCare,Male,,603,Nie Tengyun,32,China,Asia,41,Consumer,Male,,606,Michael Milken,37,United State,North America,71,Financials,Male,,617,Ken Fisher,35,United State,North America,68,Financials,Male,,616,Gayle Benson,32,United State,North America,76,Financials,Male,,622,Patrizio Bertelli,46,Italy,Europe,75,Consumer,Male,,622,Bubba Cathy,46,United State,North America,67,HealthCare,Male,,611,Samuel Yin,45,Taiwan,Asia,72,Financials,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,Nadhmi Auchi,10,United Kingdom,Europe,-,Information Technology,,606,Elie Horn,13,Brazil,South America,60,Consumer,,618,Alan Casden,16,United State,North America,61,Financials,,605,Michael Hartono,20,Indonesia,Asia,68,Financials,,601,Li Sze Lim,12,China,Asia,52,Industrials,,616,David Cheriton,16,Canada,North America,58,Real Estate,Male,,595,Charles Bronfman,20,Canada,North America,79,Financials,Male,,601,Sean Parker,21,United State,North America,32,Industrials,Male,,613,Vyacheslav Kantor,24,Russia,Europe,59,Consumer,Male,,609,Ziyad Manasir,28,Russia,Europe,48,Materials,Male,,603,Richard Tsai,30,China,Asia,57,Financials,Male,,612,Lee Jay-Hyun,28,South Korea,Asia,55,Financials,Male,,603,Daniel Och,32,United State,North America,56,Financials,Male,,606,Yuri Milner,37,Russia,Europe,56,Financials,Male,,617,Lindsay Fox,35,Australia,Australia,81,Industrials,Male,,616,Bert Beveridge,32,United State,North America,53,Real Estate,Male,,622,Bert Beveridge,46,United State,North America,59,Consumer,Male,,622,Dan Cathy,46,United State,North America,69,Consumer,Male,,611,You Xiaoping,45,China,Asia,65,Industrials,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,Emilio Azcarraga Jean,10,Mexico,North America,37,Communication Services,,606,Donald Horton,13,United State,North America,56,Real Estate,,618,Shalva Chigirinsky,16,Russia,Europe,57,Consumer,,605,R Budi Hartono,20,Indonesia,Asia,67,Financials,,601,Vincent Lo,12,China,Asia,60,Consumer,,616,Francis Choi,16,China,Asia,62,Consumer,Male,,595,Kiki Barki,20,Indonesia,Asia,71,Communication Services,Male,,601,Rajan Raheja & family,21,India,Asia,57,Information Technology,Male,,613,Mehmet Emin Karamehmet,24,Turkey,Asia,68,Real Estate,Male,,609,Masahiro Miki,28,Japan,Asia,58,Consumer,Male,,603,Hans Peter Wild,30,Germany,Europe,73,Real Estate,Male,,612,Yuri Milner,28,Russia,Europe,54,Financials,Male,,603,Miuccia Prada,32,Italy,Europe,67,Consumer,Female,,606,Andreas Struengmann,37,Germany,Europe,68,HealthCare,Male,,617,Sergei Galitsky,35,Russia,Europe,51,Consumer,Male,,616,Charles Cohen,32,United State,North America,78,Consumer,Male,,622,Martin & Olivier Bouygues,46,France,Europe,-,Industrials,Male,,622,Dagmar Dolby & family,46,United State,North America,80,Consumer,Male,,624,St閼煎嵅hane Bancel,44,France,Europe,50,HealthCare,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,Thomas Bailey,10,United State,North America,68,Information Technology,,606,James Jannard,13,United State,North America,56,Consumer,,618,Jean Coutu,16,Canada,North America,79,Industrials,,605,Hans-Werner Hector,20,Germany,Europe,68,Information Technology,,601,Alexander Machkevich,12,Israel,Asia,55,Real Estate,,616,Chung Mong-Joon,16,South Korea,Asia,58,Information Technology,Male,,595,Jayme Garfinkel & family,20,Brazil,South America,64,Communication Services,Male,,601,J. Christopher Reyes,21,United State,North America,58,Real Estate,Male,,613,Danil Khachaturov,24,Russia,Europe,41,Energy,Male,,609,Michael Moritz,28,United State,North America,59,Consumer,Male,,603,Oprah Winfrey,30,United State,North America,61,Information Technology,Female,,612,Fernando Roberto Moreira Salles,28,Brazil,South America,69,Financials,Male,,603,Thomas Pritzker,32,United State,North America,66,Financials,Male,,606,Thomas Struengmann,37,Germany,Europe,68,HealthCare,Male,,617,Tom Golisano,35,United State,North America,77,Consumer,Male,,616,John Collison,32,Ireland,Europe,50,Financials,Male,,622,Chen Lip Keong,46,Malaysia,Asia,73,Consumer,Male,,622,Lin Xiucheng & family,46,China,Asia,66,Consumer,Female,,624,Margot Birmingham Perot,44,United State,North America,89,Information Technology,Female
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,Perry Bass,10,United State,North America,90,Consumer,,606,Brad Kelley,13,United State,North America,49,Consumer,,618,Venugopal Dhoot,16,India,Asia,55,Industrials,,605,Ingeburg Herz,20,Germany,Europe,88,Consumer,,601,Stephen Mandel Jr,12,United State,North America,53,Consumer,,616,Dermot Desmond,16,Ireland,Europe,59,Financials,Male,,595,H. Fisk Johnson,20,United State,North America,52,Financials,Male,,601,Jude Reyes,21,United State,North America,56,Real Estate,Male,,613,Randal Kirk,24,United State,North America,59,Consumer,Male,,609,Viktor Rashnikov,28,Russia,Europe,65,Financials,Male,,603,Ye Chenghai,30,China,Asia,71,Communication Services,Male,,612,Joao Moreira Salles,28,Brazil,South America,54,Financials,Male,,603,Richard Schulze,32,United State,North America,76,Consumer,Male,,606,Tse Ping,37,China,Asia,66,HealthCare,Male,,617,Philip & Cristina Green,35,United Kingdom,Europe,66,Consumer,,,616,Patrick Collison,32,Ireland,Europe,66,Information Technology,Male,,622,Dong Fan,46,China,Asia,51,HealthCare,Male,,622,Jason Chang,46,Singapore,Asia,77,Information Technology,Male,,624,Neal Blue & family,44,United State,North America,88,Industrials,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,Neil Bluhm,10,United State,North America,67,Consumer,,606,Thomas Lee,13,United State,North America,61,Consumer,,618,Anurag Dikshit,16,India,Asia,35,Consumer,,605,Huang Rulun,20,China,Asia,57,Financials,,601,Kalanithi Maran,12,India,Asia,43,Financials,,616,Richard Desmond,16,United Kingdom,Europe,58,Financials,Male,,595,Hans Riegel,20,Germany,Europe,88,Real Estate,Male,,601,Robert Rich Jr,21,United State,North America,71,Consumer,Male,,613,Ihor Kolomoyskyy,24,United Kingdom,Europe,50,Financials,Male,,609,Krit Ratanarak,28,Thailand,Asia,67,Consumer,Male,,603,Yeoh Tiong Lay,30,Malaysia,Asia,85,Energy,Male,,612,Pedro Moreira Salles,28,Brazil,South America,56,Financials,Male,,603,Lottie Tham,32,Sweden,Europe,67,Consumer,Female,,606,Yitzhak Tshuva,37,Israel,Asia,69,Real Estate,Male,,617,Martin Haefner,35,Switzerland,Europe,65,Information Technology,Male,,616,Leon G. Cooperman,32,United State,North America,80,Consumer,Male,,622,Daniel Ek,46,Sweden,Europe,38,Information Technology,Male,,622,Baoguo Zhu & family,46,China,Asia,59,Information Technology,Female,,624,Jim Davis,44,United State,North America,63,Consumer,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,Amar Bose,10,United State,North America,76,Communication Services,,606,James Leprino,13,United State,North America,69,Communication Services,,618,Aydin Dogan,16,Turkey,Asia,70,Consumer,,605,James Jannard,20,United State,North America,58,Real Estate,,601,Bernard Marcus,12,United State,North America,79,Financials,,616,Gleb Fetisov,16,Russia,Europe,43,Industrials,Male,,595,S. Curtis Johnson,20,United State,North America,55,Industrials,Male,,601,Kjell Inge Rokke,21,Norway,Europe,53,Energy,Male,,613,George Lindemann & family,24,United State,North America,76,Consumer,Male,,609,Leandro Rizzuto & family,28,United State,North America,75,Industrials,Male,,628,Syed Mokhtar AlBUnited Kingdomhary,29,Malaysia,Asia,63,Financials,Male,,612,Walther Moreira Salles Junior,28,Brazil,South America,59,Financials,Male,,603,Ye Chenghai,32,China,Asia,73,HealthCare,Male,,606,Samuel Yin,37,China,Asia,67,Financials,Male,,617,Joshua Harris,35,United State,North America,54,Financials,Male,,616,Yakir Gabay,32,Cyprus,Europe,53,Information Technology,Male,,622,Tilman Fertitta,46,United State,North America,63,Consumer,Male,,622,Viatcheslav Kantor,46,Russia,Europe,68,Financials,Male,,624,Rafael Del Pino,44,Spain,Europe,64,Industrials,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,Thomas Bruch,10,Germany,Europe,54,Communication Services,,606,Liu Yongxing,13,China,Asia,57,Consumer,,618,James Dyson,16,United Kingdom,Europe,59,Communication Services,,605,Danil Khachaturov,20,Russia,Europe,36,Consumer,,601,Robert McNair,12,United State,North America,72,Consumer,,616,Barbara Carlson Gage & family,16,United State,North America,67,Materials,Female,,595,Winnie Johnson-Marquart,20,United State,North America,51,Energy,Male,,601,Edward Roski Jr,21,United State,North America,73,Consumer,Male,,613,Niels Peter Louis-Hansen,24,Denmark,Europe,65,Communication Services,Male,,609,"Wilbur Ross, Jr.",28,United State,North America,76,Industrials,Male,,628,Carlo Benetton,29,Italy,Europe,71,Information Technology,Male,,612,Prasert Prasarttong-Osoth,28,Thailand,Asia,82,HealthCare,Male,,603,Zhang Xin,32,China,Asia,51,Real Estate,Female,,629,Michael Ashley,36,United Kingdom,Europe,53,Consumer,Male,,617,Zarakh Iliev,35,Russia,Europe,52,Real Estate,Male,,616,Tom Golisano,32,United State,North America,79,Financials,Male,,622,Luis Frias,46,Brazil,South America,58,Information Technology,Male,,622,Min Kao & family,46,United State,North America,73,Consumer,Male,,624,Peter Grogg,44,Switzerland,Europe,81,HealthCare,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,John Caudwell,10,United Kingdom,Europe,52,Consumer,,606,Gary Michelson,13,United State,North America,57,Information Technology,,618,Archie Aldis "Red" Emmerson,16,United State,North America,77,Information Technology,,605,Suna Kirac,20,Turkey,Asia,66,Financials,,601,Marilyn Carlson Nelson & family,12,United State,North America,69,Real Estate,,616,Rolf Gerling,16,Germany,Europe,55,Financials,Male,,595,Erman Ilicak,20,Turkey,Asia,44,Real Estate,Male,,601,Frederick Smith,21,United State,North America,67,Consumer,Male,,613,David Murdock,24,United State,North America,89,Information Technology,Male,,609,Dirk Rossmann,28,Germany,Europe,67,Communication Services,Male,,628,Gilberto Benetton,29,Italy,Europe,73,Financials,Male,,612,"Bernard Saul, II.",28,United State,North America,83,Financials,Male,,630,Riley Bechtel,31,United State,North America,64,Industrials,Male,,629,Cao Longxiang,36,China,Asia,60,HealthCare,Male,,617,"Edward Johnson, IV.",35,United State,North America,54,Financials,Male,,616,Jonathan Gray,32,United State,North America,58,Financials,Male,,622,Peter Gassner,46,United State,North America,56,Information Technology,Male,,622,Sami Mnaymneh,46,United State,North America,60,Industrials,Male,,624,Christian Haub,44,Germany,Europe,58,Consumer,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,Harvey Chaplin & family,10,United State,North America,76,HealthCare,,606,John Morgridge,13,United State,North America,72,Information Technology,,618,Tetsuro Funai,16,Japan,Asia,80,Information Technology,,605,William Koch,20,United State,North America,68,Communication Services,,601,Henry Nicholas III,12,United State,North America,49,Real Estate,,616,Alec Gores,16,United State,North America,57,Industrials,Male,,595,Helen Johnson-Leipold,20,United State,North America,54,Industrials,Male,,601,Sze Man Bok,21,China,Asia,62,Energy,Male,,613,Igor Olenicoff,24,United State,North America,70,Financials,Male,,609,Naguib Sawiris,28,Egypt,Africa,59,Industrials,Male,,628,Giuliana Benetton,29,Italy,Europe,77,Information Technology,Female,,612,Alexandra Schorghuber,28,Germany,Europe,57,Real Estate,Female,,630,"Stephen Bechtel, Jr.",31,United State,North America,91,Industrials,Male,,629,Jeffery Hildebrand,36,United State,North America,59,Energy,Male,,617,Elizabeth Johnson,35,United State,North America,55,Financials,Female,,616,Martin Haefner,32,Switzerland,Europe,84,Financials,Male,,622,Vladimir Kim,46,Kazakhstan,Asia,60,Materials,Male,,622,Tony Tamer,46,United State,North America,64,Information Technology,Male,,624,Mangal Prabhat Lodha,44,India,Asia,67,Real Estate,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,Patokh Chodiev,10,Kazakhstan,Asia,51,Real Estate,,606,Hideo Morita & family,13,Japan,Asia,54,Consumer,,618,Donald Hall,16,United State,North America,78,Information Technology,,605,Leslie Lampton,20,United State,North America,83,Financials,,601,Femi Otedola,12,Nigeria,Africa,42,Information Technology,,616,Marguerite Harbert,16,United State,North America,86,Communication Services,Female,,595,Imogene Powers Johnson,20,United State,North America,81,Consumer,Male,,601,Andrew Tan,21,Philippines,Asia,59,Consumer,Male,,613,Isaac Perlmutter,24,United State,North America,70,Financials,Male,,609,Michael & Rainer Schmidt-Ruthenbeck,28,Germany,Europe,-,Consumer,Male,,628,Luciano Benetton,29,Italy,Europe,79,Information Technology,Male,,612,Herbert Simon,28,United State,North America,81,Real Estate,Male,,630,Rossana Camargo de Arruda Botelho,31,Brazil,South America,67,Industrials,Female,,629,Jiang Rensheng,36,China,Asia,64,HealthCare,Male,,617,Min Kao & family,35,United State,North America,70,Information Technology,Male,,616,Jeremy Jacobs Sr & family,32,United State,North America,-,Consumer,Male,,622,Li Weiguo,46,China,Asia,56,Industrials,Male,,622,Stphane Bancel,46,France,Europe,49,Information Technology,Male,,624,Jeffrey Lurie & family,44,United State,North America,71,Communication Services,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,Gary Comer,10,United State,North America,77,Information Technology,,606,Nicholas Pritzker II,13,United State,North America,62,Real Estate,,618,Ayman Hariri,16,Saudi Arabia,Asia,28,Communication Services,,605,Lee Kun-Hee,20,South Korea,Asia,66,Financials,,601,Anthony Pritzker,12,United State,North America,48,Financials,,616,Min Kao,16,United State,North America,61,Real Estate,Male,,595,Kim Jung-Ju,20,South Korea,Asia,43,Real Estate,Male,,601,Zhu Gongshan,21,China,Asia,54,Financials,Male,,613,"Robert Rich, Jr.",24,United State,North America,72,Real Estate,Male,,609,Alexandra Schorghuber,28,Germany,Europe,55,Energy,Female,,628,David Cheriton,29,Canada,North America,63,Consumer,Male,,612,Kushal Pal Singh,28,India,Asia,84,Real Estate,Male,,630,Andrew & Peggy Cherng,31,United State,North America,-,Consumer,,,629,"Edward Johnson, IV.",36,United State,North America,53,Financials,Male,,617,Li Ge,35,United State,North America,52,HealthCare,Male,,616,Jiang Bin,32,China,Asia,82,Consumer,Male,,622,Denis O'Brien,46,Ireland,Europe,62,Information Technology,Male,,622,Masatoshi Ito,46,Japan,Asia,97,Financials,Male,,624,Joe Mansueto,44,United State,North America,66,Financials,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,Scott Cook,10,United State,North America,52,Information Technology,,606,James Ratcliffe,13,United Kingdom,Europe,53,Information Technology,,618,Fahd Hariri,16,Lebanon,Asia,26,Financials,,605,Lee Myung-Hee,20,South Korea,Asia,64,Consumer,,601,Jay Robert (JB) Pritzker,12,United State,North America,44,Real Estate,,616,Rahmi Koc,16,Turkey,Asia,79,Financials,Male,,595,Klaus Tschira,20,Germany,Europe,70,Industrials,Male,,634,Juan Abello,20,Spain,Europe,70,Financials,Male,,613,Moise Safra,24,Brazil,South America,78,Real Estate,Male,,609,Alexandre Soares dos Santos & family,28,Portugal,Europe,79,Consumer,Male,,628,"William Conway, Jr.",29,United State,North America,65,Consumer,Male,,612,Vichai Srivaddhanaprabha,28,Thailand,Asia,58,Consumer,Male,,630,David Consunji,31,Philippines,Asia,95,Industrials,Male,,629,Elizabeth Johnson,36,United State,North America,54,Financials,Female,,617,Lu Zhiqiang,35,China,Asia,66,Real Estate,Male,,616,Rupert Johnson Jr,32,United State,North America,-,Consumer,Female,,622,Miuccia Prada,46,Italy,Europe,71,Consumer,Female,,622,Richard White,46,Australia,Australia,67,Financials,Male,,624,Qian Dongqi & family,44,China,Asia,65,Industrials,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,Aydin Dogan,10,Turkey,Asia,-,Communication Services,,606,Phillip Ruffin,13,United State,North America,70,Real Estate,,618,Jonathan Harmsworth,16,United Kingdom,Europe,39,Financials,,605,Thomas Lee,20,United State,North America,63,Financials,,601,Chandru Raheja,12,India,Asia,68,Information Technology,,616,Luo Jye & family,16,China,Asia,84,Consumer,Male,,595,Maria de Lourdes Egydio Villela,20,Brazil,South America,-,Industrials,Male,,634,Saif Al Ghurair & family,20,United Arab Emirates,Asia,-,Communication Services,Male,,613,Alexandra Schorghuber,24,Germany,Europe,54,Communication Services,Female,,609,Peter Sondakh,28,Indonesia,Asia,62,Financials,Male,,628,Daniel D'Aniello,29,United State,North America,68,Consumer,Male,,612,Hans Strothoff,28,Germany,Europe,65,Consumer,Male,,630,John Paul DeJoria,31,United State,North America,72,Consumer,Male,,629,Peter Kellogg,36,United State,North America,75,Financials,Male,,617,Kiran Mazumdar-Shaw,35,India,Asia,65,HealthCare,Female,,616,Daryl Katz,32,Canada,North America,84,Energy,Male,,622,Robert Rich Jr,46,United State,North America,80,Consumer,Male,,622,Bruce Flatt,46,Canada,North America,56,Information Technology,Male,,624,Mikhail Shelkov,44,Russia,Europe,54,Materials,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,John Edson,10,United State,North America,72,Real Estate,,606,Erol Sabanci,13,Turkey,Asia,68,Consumer,,618,Alfredo Harp Helu,16,Mexico,North America,63,Industrials,,605,Lu Guanqiu,20,China,Asia,63,Real Estate,,601,Johann Rupert & family,12,South Africa,Africa,58,Real Estate,,616,Craig McCaw,16,United State,North America,60,Information Technology,Male,,595,Edson de Godoy Bueno,20,Brazil,South America,67,HealthCare,Male,,634,Emilio Azcarraga Jean,20,Mexico,North America,44,Real Estate,Male,,613,Rufino Vigil Gonzalez,24,Mexico,North America,64,HealthCare,Male,,609,Suh Kyung-Bae,28,South Korea,Asia,51,Real Estate,Male,,628,Jack Dangermond,29,United State,North America,69,Consumer,Male,,612,Romesh T. Wadhwani,28,United State,North America,68,Information Technology,Male,,630,Isabel dos Santos,31,Angola,Africa,43,Financials,Female,,629,Lim Sung-Ki,36,South Korea,Asia,78,HealthCare,Male,,617,Pawan Munjal & family,35,India,Asia,65,Consumer,Male,,616,Ken Langone,32,United State,North America,64,Consumer,Male,,622,Abhay Vakil & family,46,India,Asia,70,Industrials,Male,,622,Trudy Cathy White,46,United State,North America,66,HealthCare,Male,,636,Patrick Drahi,43,France,Europe,59,Information Technology,Male
